,place,latitude,longitude,net,depthError,depth,type,Territory
2902,"22 km NNE of Yerington, Nevada",39.1624,-119.0383,nn,2.4,11.8,earthquake,Nevada
2903,"44 km W of Petrolia, CA",40.303001403809,-124.80216979981,nc,15.1899996,-0.41999998688698,earthquake,CA
2904,"6 km WNW of Cobb, CA",38.834331512451,-122.79166412353,nc,0.319999993,1.8899999856949,earthquake,CA
2905,"26 km W of Petrolia, CA",40.265335083008,-124.58633422852,nc,0.75999999,17.159999847412,earthquake,CA
2906,"6 km NW of The Geysers, CA",38.800666809082,-122.81900024414,nc,0.519999981,2.8900001049042,earthquake,CA
2907,"13 km SSE of Valdez, Alaska",61.0202,-146.2342,ak,0.3,8.2,earthquake,Alaska
2908,"34 km WNW of Petrolia, CA",40.331333333333,-124.68016666667,nc,0.83,4.31,earthquake,CA
2909,"9 km WNW of Cobb, CA",38.845001220703,-122.82633209228,nc,1.44000006,1.039999961853,earthquake,CA
2910,"4 km NW of The Geysers, CA",38.80016708374,-122.79516601562,nc,0.800000012,2.9800000190735,earthquake,CA
2911,"58 km WNW of Petrolia, CA",40.330333333333,-124.97433333333,nc,7.26,1.9,earthquake,CA
2912,"35 km WNW of Petrolia, CA",40.363333333333,-124.696,nc,1.34,15.6,earthquake,CA
2913,"9 km WNW of Cobb, CA",38.844833374023,-122.82866668701,nc,0.519999981,1.6599999666214,earthquake,CA
2914,"10 km NNW of The Geysers, CA",38.839332580566,-122.83583068848,nc,0.810000002,1.4099999666214,earthquake,CA
2915,"58 km WNW of Petrolia, CA",40.351665496826,-124.97116851807,nc,4.94999981,0.17000000178814,earthquake,CA
2916,"57 km N of Petersville, Alaska",63.011,-150.722,ak,0.9,88.1,earthquake,Alaska
2917,"9 km WNW of Cobb, CA",38.841167449951,-122.82350158691,nc,0.419999987,0.34000000357628,earthquake,CA
2918,"4 km NNW of The Geysers, CA",38.808834075928,-122.77983093262,nc,1.96000004,-0.47999998927116,earthquake,CA
2919,"54 km WNW of Petrolia, CA",40.347,-124.92633333333,nc,31.61,10.0,earthquake,CA
2920,"64 km E of Denali Park, Alaska",63.6689,-147.6166,ak,0.2,9.4,earthquake,Alaska
2921,"10 km NNW of The Geysers, CA",38.840667724609,-122.83450317383,nc,0.579999983,1.1399999856949,earthquake,CA
2922,"2 km WNW of Cobb, CA",38.825832366943,-122.75099945068,nc,0.730000019,0.0,earthquake,CA
2923,"2 km WNW of Cobb, CA",38.826168060303,-122.75066375732,nc,0.769999981,-0.23000000417232,earthquake,CA
2924,"33 km WNW of Petrolia, CA",40.325333333333,-124.67166666667,nc,0.59,9.08,earthquake,CA
2925,"3 km W of Anderson Springs, CA",38.768665313721,-122.72149658203,nc,0.970000029,1.2300000190735,earthquake,CA
2926,"7 km NE of Imperial, CA",32.8823333,-115.5101667,ci,0.56,4.35,earthquake,CA
2927,"9 km NW of The Geysers, CA",38.836166381836,-122.83416748047,nc,1.71000004,1.1499999761581,earthquake,CA
2928,"32 km W of Ferndale, CA",40.481334686279,-124.624168396,nc,8.81999969,-0.27000001072884,earthquake,CA
2929,"10 km NNW of The Geysers, CA",38.839832305908,-122.83650207519,nc,0.720000029,1.5800000429153,earthquake,CA
2930,"5 km NW of Cobb, CA",38.849666595459,-122.7679977417,nc,0.360000014,1.0900000333786,earthquake,CA
2931,"10 km NW of The Geysers, CA",38.836334228516,-122.84283447266,nc,0.330000013,1.3999999761581,earthquake,CA
2932,"9 km NW of Cobb, CA",38.86249923706,-122.81733703613,nc,0.879999995,0.94999998807907,earthquake,CA
2933,"10 km NW of The Geysers, CA",38.837333679199,-122.83699798584,nc,0.879999995,1.0800000429153,earthquake,CA
2934,"10 km NNW of The Geysers, CA",38.84033203125,-122.83516693115,nc,0.639999986,1.289999961853,earthquake,CA
2935,"4 km NW of The Geysers, CA",38.800498962402,-122.79582977295,nc,0.479999989,3.0899999141693,earthquake,CA
2936,"3 km ENE of Sebastopol, CA",38.420501708984,-122.79166412353,nc,1.47000003,13.840000152588,earthquake,CA
2937,"10 km NNW of The Geysers, CA",38.84049987793,-122.83616638184,nc,0.680000007,1.6299999952316,earthquake,CA
2938,"10 km NW of The Geysers, CA",38.836166381836,-122.84116363525,nc,0.620000005,1.5099999904633,earthquake,CA
2939,"5 km WNW of Cobb, CA",38.826667785645,-122.7773361206,nc,1.11000001,1.0499999523163,earthquake,CA
2940,"5 km NW of Cobb, CA",38.846332550049,-122.7679977417,nc,0.439999998,0.36000001430512,earthquake,CA
2941,"4 km NNW of The Geysers, CA",38.810001373291,-122.77783203125,nc,0.970000029,-0.079999998211861,earthquake,CA
2942,"12 km NW of The Geysers, CA",38.825332641602,-122.87433624268,nc,13.6400003,27.479999542236,earthquake,CA
2943,"10 km NW of The Geysers, CA",38.829498291016,-122.85549926758,nc,0.850000024,1.7400000095367,earthquake,CA
2944,"6 km NE of Inverness, CA",38.1438331604,-122.80883026123,nc,23.9500008,1.3999999761581,earthquake,CA
2945,"10 km NNW of The Geysers, CA",38.840167999268,-122.83149719238,nc,0.75,1.75,earthquake,CA
2946,"9 km NW of The Geysers, CA",38.814834594727,-122.85283660889,nc,3.86999989,4.6399998664856,earthquake,CA
2947,"5 km WNW of Cobb, CA",38.835666656494,-122.78216552734,nc,0.689999998,0.54000002145767,earthquake,CA
2948,"9 km NW of The Geysers, CA",38.82483291626,-122.83416748047,nc,0.5,0.89999997615814,earthquake,CA
2949,"22 km NE of Hawaiian Paradise Park, Hawaii",19.742166519165,-154.82699584961,hv,6.86000013,66.370002746582,earthquake,Hawaii
2950,"11 km WNW of Cobb, CA",38.853668212891,-122.84799957275,nc,0.889999986,1.2000000476837,earthquake,CA
2951,"10 km WNW of Cobb, CA",38.854167938232,-122.83383178711,nc,2.0,-0.73000001907349,earthquake,CA
2952,"9 km WNW of Cobb, CA",38.842166900635,-122.82350158691,nc,0.930000007,1.6599999666214,earthquake,CA
2953,"10 km WNW of Cobb, CA",38.84400177002,-122.83333587647,nc,0.460000008,0.89999997615814,earthquake,CA
2954,"6 km NW of Cobb, CA",38.845165252685,-122.78067016602,nc,0.25,0.93000000715256,earthquake,CA
2955,"1 km  of The Geysers, CA",38.790000915527,-122.76149749756,nc,0.600000024,1.0900000333786,earthquake,CA
2956,"9 km NNW of The Geysers, CA",38.836166381836,-122.83032989502,nc,1.64999998,2.2599999904633,earthquake,CA
2957,"9 km WNW of Cobb, CA",38.84349822998,-122.827003479,nc,1.22000003,0.94999998807907,earthquake,CA
2958,"9 km NNW of Cobb, CA",38.88066482544,-122.79816436768,nc,6.61000013,4.2300000190735,earthquake,CA
2959,"9 km WNW of Cobb, CA",38.844166666667,-122.827,nc,0.14,0.41,earthquake,CA
2960,"66 km WSW of Ferndale, California",40.4422,-125.0287,us,1.995,10.0,earthquake,California
2961,"15 km NE of Milford, Utah",38.506833333333,-112.89833333333,uu,0.38,2.21,earthquake,Utah
2962,"21 km SSW of Mammoth, Wyoming",44.8015,-110.8095,uu,1.17,3.19,earthquake,Wyoming
2963,"7 km NNE of Cabazon, CA",33.9746667,-116.748,ci,0.51,16.97,earthquake,CA
2964,"2024 Offshore Cape Mendocino, California Earthquake",40.374,-125.02166666667,nc,31.61,10.0,earthquake,California Earthquake
2965,"8 km NW of The Geysers, CA",38.820331573486,-122.82433319092,nc,0.75,2.3099999427795,earthquake,CA
2966,"57 km WSW of Adak, Alaska",51.708,-177.4245,av,1.29,11.24,earthquake,Alaska
2967,"6 km E of Butte, Montana",46.010833333333,-112.4555,mb,31.61,-2.0,quarry blast,Montana
2968,"16 km NE of Milford, Utah",38.5075,-112.88666666667,uu,0.44,2.73,earthquake,Utah
2969,"6 km SSW of Pāhala, Hawaii",19.144833333333,-155.493,hv,0.93,30.4,earthquake,Hawaii
2970,"47 km WNW of Indian Springs, Nevada",36.6987,-116.1763,nn,1.8,3.9,earthquake,Nevada
2971,"2 km NNW of The Geysers, CA",38.790000915527,-122.7688369751,nc,0.870000005,1.7599999904633,earthquake,CA
2972,"21 km S of Trona, CA",35.5775,-117.394,ci,0.45,8.27,earthquake,CA
2973,"1 km SE of South Hills, Montana",46.544833333333,-111.98133333333,mb,31.61,-2.0,quarry blast,Montana
2974,"23 km ENE of Ashford, Washington",46.852833333333,-121.757,uw,0.39,1.33,earthquake,Washington
2975,"15 km NE of Milford, Utah",38.504,-112.89283333333,uu,0.45,2.08,earthquake,Utah
2976,"53 km SE of Nelchina, Alaska",61.6041,-146.1865,ak,0.2,29.3,earthquake,Alaska
2977,"64 km WNW of Tyonek, Alaska",61.2828,-152.2577,ak,0.3,1.2,earthquake,Alaska
2978,"56 km WSW of Rosarito, B.C., MX",32.0736667,-117.5431667,ci,1.4,15.01,earthquake,MX
2979,"63 km WNW of Tyonek, Alaska",61.273333333333,-152.24366666667,av,0.56,3.0,earthquake,Alaska
2980,"5 km SSW of Pāhala, Hawaii",19.156833648682,-155.49166870117,hv,0.889999986,31.010000228882,earthquake,Hawaii
2981,"98 km WSW of Fīrūzābād, Iran",28.4015,51.6952,us,1.867,10.0,earthquake,Iran
2982,"84 km NNW of Karluk, Alaska",58.242166666667,-155.10183333333,av,0.5,5.63,earthquake,Alaska
2983,"67 km WNW of Beluga, Alaska",61.316666666667,-152.27583333333,av,0.88,1.39,earthquake,Alaska
2984,"15 km NE of Milford, Utah",38.503166666667,-112.89633333333,uu,0.32,2.05,earthquake,Utah
2985,"35 km ESE of Skwentna, Alaska",61.8994,-150.7416,ak,0.6,64.0,earthquake,Alaska
2986,"8 km WNW of Cobb, CA",38.836166381836,-122.81533050537,nc,0.800000012,1.5199999809265,earthquake,CA
2987,"18 km ESE of Little Lake, CA",35.9003333,-117.7175,ci,0.37,10.42,earthquake,CA
2988,"67 km WNW of Beluga, Alaska",61.318833333333,-152.278,av,2.43,0.48,earthquake,Alaska
2989,South Sandwich Islands region,-55.7476,-29.0697,us,11.152,171.121,earthquake,Unknown
2990,"174 km NNW of Sola, Vanuatu",-12.3629,167.0881,us,8.129,256.644,earthquake,Vanuatu
2991,"162 km SSE of Old Harbor, Alaska",55.8562,-152.2675,ak,8.8,11.9,earthquake,Alaska
2992,"6 km SE of Hebgen Lake Estates, Montana",44.725666666667,-111.14333333333,uu,0.89,10.78,earthquake,Montana
2993,"2 km N of The Geysers, CA",38.791999816895,-122.75949859619,nc,1.00999999,2.0299999713898,earthquake,CA
2994,"6 km SE of Hebgen Lake Estates, Montana",44.721166666667,-111.1405,uu,1.4,7.33,earthquake,Montana
2995,"58 km WSW of Adak, Alaska",51.737833333333,-177.446,av,1.33,4.17,earthquake,Alaska
2996,"12 km NNE of Cabazon, CA",34.0161667,-116.7466667,ci,0.4,17.43,earthquake,CA
2997,"6 km SE of Hebgen Lake Estates, Montana",44.725333333333,-111.13916666667,uu,1.43,8.8,earthquake,Montana
2998,"18 km WNW of Searles Valley, CA",35.8015,-117.6048333,ci,0.52,12.24,earthquake,CA
2999,"5 km WNW of Cobb, CA",38.837501525879,-122.77866363525,nc,0.389999986,0.74000000953674,earthquake,CA
3000,"15 km NE of Milford, Utah",38.501666666667,-112.88683333333,uu,0.41,1.67,earthquake,Utah
3001,"3 km SSW of Cobb, CA",38.798831939697,-122.72833251953,nc,0.579999983,0.81999999284744,earthquake,CA
3002,"6 km WSW of Volcano, Hawaii",19.411166666667,-155.28433333333,hv,0.54,8.53,earthquake,Hawaii
3003,"53 km NNW of Petersville, Alaska",62.918,-151.2799,ak,1.0,109.9,earthquake,Alaska
3004,"28 km NW of Furnace Creek, California",36.62,-117.0836,nn,3.6,8.5,earthquake,California
3005,"1 km S of Pāhala, Hawaii",19.1875,-155.48100280762,hv,0.899999976,29.299999237061,earthquake,Hawaii
3006,"10 km ESE of Pāhala, Hawaii",19.1675,-155.3895,hv,0.52,30.56,earthquake,Hawaii
3007,"23 km ENE of Ashford, Washington",46.854166666667,-121.76083333333,uw,0.46,1.7,earthquake,Washington
3008,"15 km WNW of Emery, Utah",39.001,-111.40333333333,uu,0.29,-1.62,earthquake,Utah
3009,"61 km SW of Cantwell, Alaska",63.0834,-149.9766,ak,1.5,80.6,earthquake,Alaska
3010,"2 km SSW of Pāhala, Hawaii",19.185667037964,-155.49049377441,hv,0.769999981,30.020000457764,earthquake,Hawaii
3011,"4 km SSW of Pāhala, Hawaii",19.1645,-155.50066666667,hv,0.66,34.12,earthquake,Hawaii
3012,"16 km NE of Milford, Utah",38.504333333333,-112.8875,uu,0.48,1.95,earthquake,Utah
3013,"15 km ESE of Little Lake, CA",35.9038333,-117.7475,ci,0.48,7.48,earthquake,CA
3014,"72 km ENE of Punta Cana, Dominican Republic",18.864666666667,-67.786833333333,pr,4.32,71.63,earthquake,Dominican Republic
3015,"15 km NE of Milford, Utah",38.505,-112.88983333333,uu,0.46,1.79,earthquake,Utah
3016,"10 km NW of The Geysers, CA",38.823001861572,-122.85083007812,nc,1.21000004,2.1099998950958,earthquake,CA
3017,"4 km SSW of Pāhala, Hawaii",19.168167114258,-155.49884033203,hv,0.680000007,30.420000076294,earthquake,Hawaii
3018,"7 km WNW of Cobb, CA",38.835834503174,-122.79933166504,nc,1.13,1.9400000572205,earthquake,CA
3019,"12 km SE of Pāhala, Hawaii",19.114166666667,-155.41133333333,hv,1.01,29.67,earthquake,Hawaii
3020,"15 km WSW of Searles Valley, CA",35.7188333,-117.5541667,ci,0.53,9.39,earthquake,CA
3021,"5 km S of Volcano, Hawaii",19.3955,-155.23733333333,hv,0.5,40.11,earthquake,Hawaii
3022,"8 km NNE of Banning, CA",33.9965,-116.8463333,ci,0.49,18.01,earthquake,CA
3023,"37 km ENE of Punta Cana, Dominican Republic",18.7013,-68.0731,pr,2.8,60.0,earthquake,Dominican Republic
3024,"2 km NNW of The Geysers, CA",38.789001464844,-122.76950073242,nc,1.13999999,1.9099999666214,earthquake,CA
3025,"7 km NNW of The Geysers, CA",38.824501037598,-122.80916595459,nc,0.99000001,0.9200000166893,earthquake,CA
3026,"248 km SE of Kushimoto, Japan",32.2187,137.9821,us,6.845,365.692,earthquake,Japan
3027,"11 km N of Houston, Alaska",61.7298,-149.7902,ak,0.2,30.8,earthquake,Alaska
3028,"61 km SE of Pope-Vannoy Landing, Alaska",59.2378,-153.6076,ak,2.5,116.3,earthquake,Alaska
3029,"63 km N of Suárez, Puerto Rico",19.003,-65.805,pr,1.23,6.11,earthquake,Puerto Rico
3030,"74 km N of Suárez, Puerto Rico",19.096833333333,-65.788666666667,pr,17.99,22.63,earthquake,Puerto Rico
3031,"51 km SSE of Nelchina, Alaska",61.608,-146.2403,ak,0.2,29.3,earthquake,Alaska
3032,"20 km SSE of Waimea, Hawaii",19.8555,-155.59466666667,hv,0.76,21.65,earthquake,Hawaii
3033,"6 km NW of The Geysers, CA",38.812168121338,-122.81349945068,nc,0.579999983,2.9800000190735,earthquake,CA
3034,"9 km SSW of Guánica, Puerto Rico",17.890666666667,-66.925833333333,pr,0.34,11.13,earthquake,Puerto Rico
3035,"15 km SSE of Whittier, Alaska",60.6478,-148.5927,ak,0.3,17.4,earthquake,Alaska
3036,"2 km ENE of Lone Pine, CA",36.5948333,-118.0483333,ci,0.63,0.57,earthquake,CA
3037,"5 km SE of Lone Pine, CA",36.5581667,-118.0231667,ci,0.35,1.03,earthquake,CA
3038,"2 km ENE of Lone Pine, CA",36.5941667,-118.0545,ci,0.6,-0.25,earthquake,CA
3039,"14 km W of Delta, B.C., MX",32.3618333,-115.337,ci,0.73,2.3,earthquake,MX
3040,"6 km WNW of Cobb, CA",38.840000152588,-122.79149627685,nc,0.540000021,2.0499999523163,earthquake,CA
3041,"6 km SSW of Pāhala, Hawaii",19.15016746521,-155.50283813477,hv,0.779999971,31.549999237061,earthquake,Hawaii
3042,"14 km ENE of Ridgecrest, CA",35.6703333,-117.527,ci,0.51,6.85,earthquake,CA
3043,"100 km WSW of Fīrūzābād, Iran",28.3772,51.6869,us,1.973,10.0,earthquake,Iran
3044,"97 km NNW of San Antonio de los Cobres, Argentina",-23.459,-66.8116,us,7.472,226.76,earthquake,Argentina
3045,"11 km SSE of Carbonado, Washington",46.983,-122.0075,uw,0.32,11.96,earthquake,Washington
3046,"3 km ESE of Lake Henshaw, CA",33.231,-116.7333333,ci,0.5,10.5,earthquake,CA
3047,"100 km WSW of Fīrūzābād, Iran",28.3941,51.6774,us,1.865,10.0,earthquake,Iran
3048,"85 km NW of Karluk, Alaska",58.171833333333,-155.34633333333,av,0.48,1.41,earthquake,Alaska
3049,"2 km ENE of Hebgen Lake Estates, Montana",44.775166666667,-111.16066666667,uu,1.07,8.34,earthquake,Montana
3050,"18 km NE of Cantwell, Alaska",63.5115,-148.6888,ak,0.4,4.8,earthquake,Alaska
3051,"7 km SSW of Lindsay, Texas",31.309,-103.571,tx,1.9649026437421,3.8696,earthquake,Texas
3052,"15 km ESE of Little Lake, CA",35.9051667,-117.7446667,ci,0.32,6.77,earthquake,CA
3053,"18 km NE of Cantwell, Alaska",63.525,-148.7285,ak,0.2,3.5,earthquake,Alaska
3054,"251 km SE of Kushimoto, Japan",31.9568,137.7783,us,6.916,383.062,earthquake,Japan
3055,"41 km NW of Beluga, Alaska",61.3569,-151.7041,ak,1.0,66.2,earthquake,Alaska
3056,"2 km ENE of Lone Pine, CA",36.5916667,-118.0453333,ci,0.41,5.04,earthquake,CA
3057,"4 km WSW of Volcano, Hawaii",19.42799949646,-155.27233886719,hv,0.5,-0.76999998092651,earthquake,Hawaii
3058,"77 km WSW of Akhiok, Alaska",56.6233,-155.3012,ak,4.9,72.1,earthquake,Alaska
3059,"18 km ESE of Little Lake, CA",35.894,-117.7086667,ci,0.37,8.32,earthquake,CA
3060,"162 km W of Adak, Alaska",51.744666666667,-178.97533333333,av,2.87,12.46,earthquake,Alaska
3061,"2 km SSW of Pāhala, Hawaii",19.186332702637,-155.48733520508,hv,0.689999998,32.009998321533,earthquake,Hawaii
3062,"44 km NW of Ninilchik, Alaska",60.3416,-152.2156,ak,1.2,75.6,earthquake,Alaska
3063,"16 km W of Sitka, Alaska",57.051333333333,-135.60083333333,av,0.93,5.23,earthquake,Alaska
3064,"246 km E of Levuka, Fiji",-18.0914,-178.3561,us,7.414,594.523,earthquake,Fiji
3065,"38 km NNE of Amboy, Washington",46.202,-122.18833333333,uw,0.18,0.77,earthquake,Washington
3066,"5 km WSW of Volcano, Hawaii",19.414499282837,-155.28132629394,hv,0.479999989,0.5799999833107,earthquake,Hawaii
3067,"31 km SE of Manley Hot Springs, Alaska",64.7706,-150.2601,ak,0.5,8.0,earthquake,Alaska
3068,"16 km NE of Milford, Utah",38.506,-112.885,uu,0.45,1.6,earthquake,Utah
3069,"17 km N of Borrego Springs, CA",33.4056667,-116.4061667,ci,0.75,5.65,earthquake,CA
3070,"8 km NNW of The Geysers, CA",38.831832885742,-122.81483459473,nc,0.810000002,1.1499999761581,earthquake,CA
3071,"8 km W of Morongo Valley, CA",34.0453333,-116.6711667,ci,0.52,12.18,earthquake,CA
3072,"8 km W of Morongo Valley, CA",34.0396667,-116.671,ci,0.33,11.67,earthquake,CA
3073,"8 km NNW of The Geysers, CA",38.831665039062,-122.81500244141,nc,0.800000012,1.039999961853,earthquake,CA
3074,"8 km NNW of The Geysers, CA",38.829498291016,-122.81150054932,nc,0.239999995,1.5900000333786,earthquake,CA
3075,"10 km E of Borrego Springs, CA",33.2703333,-116.2725,ci,0.66,6.42,earthquake,CA
3076,"9 km E of Borrego Springs, CA",33.2695,-116.2808333,ci,0.69,5.99,earthquake,CA
3077,"10 km E of Borrego Springs, CA",33.2696667,-116.2745,ci,0.88,6.21,earthquake,CA
3078,"15 km ESE of Little Lake, CA",35.9045,-117.7448333,ci,0.42,9.2,earthquake,CA
3079,"13 km ESE of Pāhala, Hawaii",19.157333374023,-155.35450744629,hv,0.449999988,28.969999313354,earthquake,Hawaii
3080,"4 km W of Dover, Oklahoma",35.98233333,-97.96433333,ok,0.9,5.12,earthquake,Oklahoma
3081,"60 km ESE of West Yellowstone, Montana",44.439666666667,-110.41483333333,uu,31.61,2.67,earthquake,Montana
3082,"23 km WNW of Hebgen Lake Estates, Montana",44.8345,-111.47016666667,mb,1.04,9.23,earthquake,Montana
3083,"166 km SW of Nikolski, Alaska",52.0168,-170.7911,us,6.487,42.916,earthquake,Alaska
3084,"25 km SW of Ocotillo Wells, CA",32.9851667,-116.3251667,ci,0.67,7.4,earthquake,CA
3085,"12 km SSE of Anza, CA",33.459,-116.614,ci,0.34,9.58,earthquake,CA
3086,"12 km WSW of Searles Valley, CA",35.7341667,-117.533,ci,0.55,4.04,earthquake,CA
3087,"5 km SSW of Pāhala, Hawaii",19.155166625977,-155.49566650391,hv,0.939999998,31.430000305176,earthquake,Hawaii
3088,"16 km E of Ninilchik, Alaska",60.0662,-151.3712,ak,0.8,53.5,earthquake,Alaska
3089,"8 km NNW of The Geysers, CA",38.832668304443,-122.81517028809,nc,1.40999997,1.2599999904633,earthquake,CA
3090,"5 km SE of Ojai, CA",34.4196667,-119.1991667,ci,0.59,4.29,earthquake,CA
3091,"6 km W of Dover, Oklahoma",35.97566667,-97.97733333,ok,0.5,5.01,earthquake,Oklahoma
3092,"23 km N of Ridgecrest, CA",35.8253333,-117.6668333,ci,0.62,5.48,earthquake,CA
3093,"7 km NNW of The Geysers, CA",38.825332641602,-122.80783081055,nc,1.65999997,3.2999999523163,earthquake,CA
3094,"36 km NNE of Chenega, Alaska",60.3736,-147.7758,ak,0.3,14.3,earthquake,Alaska
3095,"2 km NNW of The Geysers, CA",38.79683303833,-122.76750183106,nc,0.600000024,1.4099999666214,earthquake,CA
3096,"16 km SSE of Glacier, Washington",48.760666666667,-121.83066666667,uw,1.47,-0.69,earthquake,Washington
3097,"5 km SSW of Pāhala, Hawaii",19.154333114624,-155.5,hv,0.589999974,32.919998168945,earthquake,Hawaii
3098,"23 km NNE of Yerington, Nevada",39.1748,-119.0414,nn,3.0,5.7,earthquake,Nevada
3099,"99 km W of Arica, Chile",-18.6411,-71.2224,us,8.974,57.251,earthquake,Chile
3100,"8 km NNW of Borrego Springs, CA",33.3298333,-116.3983333,ci,0.52,8.65,earthquake,CA
3101,"17 km W of Searles Valley, CA",35.7751667,-117.5925,ci,0.32,7.96,earthquake,CA
3102,"15 km NE of Milford, Utah",38.506833333333,-112.89816666667,uu,0.35,2.51,earthquake,Utah
3103,"3 km SSW of Pāhala, Hawaii",19.178333282471,-155.49417114258,hv,0.680000007,32.529998779297,earthquake,Hawaii
3104,"5 km SSW of Pāhala, Hawaii",19.155666351318,-155.50149536133,hv,0.899999976,28.75,earthquake,Hawaii
3105,"16 km NE of Milford, Utah",38.504333333333,-112.8845,uu,0.45,2.02,earthquake,Utah
3106,"9 km E of Borrego Springs, CA",33.2698333,-116.2828333,ci,0.65,4.41,earthquake,CA
3107,"15 km ESE of Little Lake, CA",35.9035,-117.7448333,ci,0.55,7.86,earthquake,CA
3108,"2 km SSW of Pāhala, Hawaii",19.1785,-155.49033333333,hv,0.69,35.08,earthquake,Hawaii
3109,"52 km NE of Alta, Wyoming",44.094666666667,-110.58983333333,uu,1.35,9.04,earthquake,Wyoming
3110,"20 km E of Little Lake, CA",35.943,-117.683,ci,0.37,3.75,earthquake,CA
3111,"67 km NNW of Karluk, Alaska",58.1585,-154.73916666667,av,1.59,10.52,earthquake,Alaska
3112,"10 km ENE of Borrego Springs, CA",33.2796667,-116.2718333,ci,1.24,4.58,earthquake,CA
3113,"9 km E of Borrego Springs, CA",33.2703333,-116.2818333,ci,0.88,5.59,earthquake,CA
3114,"10 km WNW of Cobb, CA",38.842998504639,-122.83166503906,nc,0.529999971,1.1799999475479,earthquake,CA
3115,"10 km WNW of Cobb, CA",38.842498779297,-122.83233642578,nc,0.370000005,0.91000002622604,earthquake,CA
3116,"7 km NNW of The Geysers, CA",38.821998596191,-122.81300354004,nc,1.46000004,3.420000076294,earthquake,CA
3117,"7 km NW of Ocotillo Wells, CA",33.1943333,-116.177,ci,0.47,6.23,earthquake,CA
3118,"9 km NW of The Geysers, CA",38.821834564209,-122.84266662598,nc,0.360000014,2.4300000667572,earthquake,CA
3119,"16 km NE of Milford, Utah",38.509666666667,-112.88866666667,uu,0.4,1.87,earthquake,Utah
3120,"133 km NNE of Vieques, Puerto Rico",19.562833333333,-65.403833333333,pr,2.96,6.12,earthquake,Puerto Rico
3121,"55 km WNW of Ninilchik, Alaska",60.2582,-152.5697,ak,1.2,98.4,earthquake,Alaska
3122,"2 km WNW of Helena Valley West Central, Montana",46.672,-112.09233333333,mb,6.8,4.0,earthquake,Montana
3123,"7 km ENE of Lindisfarne, Montana",47.839166666667,-114.13833333333,mb,0.92,6.08,earthquake,Montana
3124,"34 km NW of Stanley, Idaho",44.461333333333,-115.20283333333,mb,0.8,5.27,earthquake,Idaho
3125,"9 km SSW of Idyllwild, CA",33.6586667,-116.7446667,ci,0.38,13.4,earthquake,CA
3126,"5 km WSW of Dover, Oklahoma",35.966,-97.96966667,ok,0.4,5.0,earthquake,Oklahoma
3127,"6 km NNW of The Geysers, CA",38.823665618896,-122.79399871826,nc,0.699999988,2.829999923706,earthquake,CA
3128,"37 km NNE of Amboy, Washington",46.194,-122.18466666667,uw,0.56,7.25,earthquake,Washington
3129,"15 km ESE of Little Lake, CA",35.9043333,-117.748,ci,0.7,7.25,earthquake,CA
3130,"18 km NE of Olancha, CA",36.3973333,-117.8646667,ci,0.91,-0.67,earthquake,CA
3131,"12 km ESE of Pāhala, Hawaii",19.150333404541,-155.37266540527,hv,0.550000012,29.680000305176,earthquake,Hawaii
3132,"13 km S of Volcano, Hawaii",19.326166666667,-155.212,hv,0.83,6.66,earthquake,Hawaii
3133,"65 km E of Port Alsworth, Alaska",60.2512,-153.1376,ak,1.3,157.7,earthquake,Alaska
3134,"5 km SSW of Pāhala, Hawaii",19.154333114624,-155.50332641602,hv,0.629999995,32.75,earthquake,Hawaii
3135,"5 km SW of Volcano, Hawaii",19.403999328613,-155.263671875,hv,0.180000007,1.1699999570847,earthquake,Hawaii
3136,"5 km SSW of Volcano, Hawaii",19.3975,-155.26016666667,hv,0.28,-1.11,earthquake,Hawaii
3137,"3 km W of Rainier, Washington",46.888666666667,-122.73216666667,uw,0.95,15.7,earthquake,Washington
3138,"2 km  of The Geysers, CA",38.797500610352,-122.76667022705,nc,0.529999971,1.3899999856949,earthquake,CA
3139,"5 km NNW of Aguanga, CA",33.4805,-116.8926667,ci,0.48,12.43,earthquake,CA
3140,"4 km W of Dover, Oklahoma",35.983,-97.96616667,ok,1.0,3.99,earthquake,Oklahoma
3141,"10 km S of Huarancante, Peru",-15.8612,-71.4591,us,18.482,170.893,earthquake,Peru
3142,"5 km NNW of The Geysers, CA",38.814666748047,-122.79750061035,nc,1.07000005,2.579999923706,earthquake,CA
3143,"81 km W of Adak, Alaska",51.856333333333,-177.81916666667,av,0.86,3.16,earthquake,Alaska
3144,"4 km W of Dover, Oklahoma",35.97533333,-97.96566667,ok,0.6,5.23,earthquake,Oklahoma
3145,"8 km WNW of The Geysers, CA",38.790668487549,-122.84566497803,nc,1.38,4.1500000953674,earthquake,CA
3146,"10 km E of Pāhala, Hawaii",19.195667266846,-155.37767028809,hv,0.449999988,30.209999084473,earthquake,Hawaii
3147,"6 km NNW of The Geysers, CA",38.823665618896,-122.79916381836,nc,2.00999999,2.960000038147,earthquake,CA
3148,"6 km NNW of The Geysers, CA",38.823165893555,-122.79783630371,nc,0.379999995,2.539999961853,earthquake,CA
3149,"5 km SSW of Pāhala, Hawaii",19.15950012207,-155.49783325195,hv,1.19000006,29.340000152588,earthquake,Hawaii
3150,"15 km ESE of Little Lake, CA",35.904,-117.7453333,ci,0.41,7.82,earthquake,CA
3151,"15 km ESE of Little Lake, CA",35.905,-117.7433333,ci,0.54,8.15,earthquake,CA
